,title,nb_videos,short_desc,url,mean_stars,five_stars,four_stars,three_stars,two_stars,one_star,editor,action,adventure,comedy,drama,fantasy,harem,historical,idols,isekai,magical_girls,mecha,music,mystery,post_apocalyptic,romance,sci_fi,seinen,shojo,shonen,slice_of_life,sports,supernatural,thriller
141,Fire Force,120,"Tokyo brûle, et dans toute la ville, des citoyens sont victimes de combustion spontanée. La Fire Force, brigade en charge d’éteindre ce brasier compte une nouvell…",https://www.crunchyroll.com/fr/fire-force,4.0,221,25,30,22,43,Kodansha Ltd.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
142,FLCL,12,"Hidomi, 14 ans, et son camarade de classe, Ide, sont tous les deux liés à deux êtres venus d'un autre monde : Jinyu et Haruha Raharu. Déterminés à libérer leur po…",https://www.crunchyroll.com/fr/flcl,3.5,10,4,7,3,2,Adult Swim,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
143,Flying Witch,12,Makoto Kowata est une jeune sorcière de 15 ans. La coutume impose aux sorcières de cet âge de s'éloigner de leur famille pour devenir indépendantes. Makoto quitte…,https://www.crunchyroll.com/fr/flying-witch,4.5,119,20,4,3,3,ntv,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
144,Food Wars! (VF),37,Sôma est un jeune Chef bien décidé à prendre la succession de son père aux fourneaux du restaurant familial. Lorsque son paternel décide de fermer boutique et d'e…,https://www.crunchyroll.com/fr/food-wars-shokugeki-no-soma-dubs,5.0,1,0,0,0,0,Food Wars Committees,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
145,Food Wars! Shokugeki no Soma,92,Sôma est un jeune Chef bien décidé à prendre la succession de son père aux fourneaux du restaurant familial. Lorsque son paternel décide de fermer boutique et d'e…,https://www.crunchyroll.com/fr/food-wars-shokugeki-no-soma,4.5,933,114,26,25,13,Food Wars Committees,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
146,For Whom The Alchemist Exists The Movie,1,"L’Alchemia, qui régit le continent de Babel, n’est plus. Les démons des ténèbres prennent petit à petit place, dans ce monde devenu désolé. Dans la vie de tous le…",https://www.crunchyroll.com/fr/for-whom-the-alchemist-exists-the-movie,3.5,2,7,2,3,0,Satelight,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Forest Fairy Five,25,"Dans le monde des fées, le Japon est vu comme le royaume des animés. Grâce à l’anneau féerique, que l’on peut retrouver partout, du quartier de Harajuku en plein …",https://www.crunchyroll.com/fr/forest-fairy-five,2.5,7,1,2,1,13,Showgate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Frankenstein Family,12,"Les parents de Tanis étaient des savants fous vivant en marge de la société, seuls sur une île avec leurs enfants qui leur servaient, en secret, de cobaye. Ainsi,…",https://www.crunchyroll.com/fr/frankenstein-family,3.0,9,3,10,8,6,Animen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
149,FreakAngels,9,"Bienvenue à Whitechapel, le dernier bastion de l'humanité. Six ans après un cataclysme de grande ampleur ayant entraîné la fin du monde, seul un quartier de la Gr…",https://www.crunchyroll.com/fr/freakangels,2.5,2,1,4,0,6,Crunchyroll Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
150,Freaky Girls,13,"Tetsuo Takahashi enseigne la biologie au lycée Shibasaki, mais il s’intéresse depuis longtemps à des créatures mi-humaines qui peuplent notre monde. Il découvre u…",https://www.crunchyroll.com/fr/interviews-with-monster-girls,4.5,133,28,12,1,1,Kodansha Ltd.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
151,Free!,49,Free! nous entraîne dans la vie de quatre lycéens passionnés de natation et se connaissant depuis l'école primaire. …,https://www.crunchyroll.com/fr/free-iwatobi-swim-club,4.5,376,82,12,8,10,ABC Asahi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
152,Fruits Basket,189,Tohru Honda pensait sa vie vouée au malheur après qu’une tragédie familiale lui impose de vivre seule dans une tente. Lorsque son modeste logis est découvert par …,https://www.crunchyroll.com/fr/fruits-basket,5.0,281,14,4,1,1,TV TOKYO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
153,Fudanshi Kôkô Seikatsu,12,"Ryô Sakaguchi est ce qu’on appelle un « fudanshi », un garçon qui adore lire des histoires yaoi (sans pour autant être attiré par les hommes) ! Il traîne avec ses…",https://www.crunchyroll.com/fr/the-highschool-life-of-a-fudanshi,4.0,28,18,13,6,3,Dream Creation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
154,Fushigi na Somera-chan,12,"Somera est asociale et vit recluse chez elle, mais elle possède des pouvoirs magiques hérités de sa défunte mère. Nous suivrons ses aventures quotidiennes. …",https://www.crunchyroll.com/fr/magical-somera-chan,3.5,3,4,2,3,0,Dream Creation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Fuun Ishin Dai Shogun,12,"Durant la seconde période de l'époque d'Edo, le Japon avait connu une crise sans précédent causée par les Navires Noirs, des vaisseaux en provenance des pays étra…",https://www.crunchyroll.com/fr/dai-shogun-great-revolution,2.5,3,7,11,9,22,Kadokawa Pictures Inc.,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
156,Gabriel DropOut,12,"Gabriel White a été promue meilleure élève de l’école des anges. Afin de poursuivre son apprentissage, elle est venue sur Terre afin d’étudier les humains et les …",https://www.crunchyroll.com/fr/gabriel-dropout,4.5,74,20,14,5,3,Kadokawa Pictures Inc.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
157,Gakuen Handsome,12,"Yoshiki Maeda, 17 ans, arrive au lycée Baramon, un établissement privé exclusivement masculin qui accueille l’élite des élèves du département. Il retrouve un ami …",https://www.crunchyroll.com/fr/gakuen-handsome,4.5,68,1,2,0,5,It's,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
158,Gamers!,12,"Le lycée Otobuki possède un club rassemblant des passionnés de jeux vidéo. On y trouve parmi eux Keita Amano, un jeune garçon seul qui y joue régulièrement, Karen…",https://www.crunchyroll.com/fr/gamers,4.0,144,63,53,40,22,NBC Universal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
159,GANBARE DOUKICHAN,12,La vie au quotidien de trois collègues de bureau dans une entreprise de Tokyo et leurs échanges autour de leur vie sentimentale. …,https://www.crunchyroll.com/fr/ganbare-doukichan,4.5,9,6,0,0,1,NBC Universal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,GANGSTA.,13,"Ergastulum est l’endroit où ont échoué les crépusculaires, des personnes aux capacités physiques décuplées, mais souvent instables et dangereuses. Ils côtoient la…",https://www.crunchyroll.com/fr/gangsta,4.5,15,1,2,1,1,Anime Limited,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
161,Garakowa -Restore the World-,3,"Dans un monde virtuel constitué d'une multitude de dimensions, Dual et Dorothy ont pour mission d'éradiquer les virus qui menacent chacun de ces espaces. Et la rè…",https://www.crunchyroll.com/fr/garakowa-restore-the-world-,4.0,13,9,8,6,0,PONY CANYON INC.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
162,Gatchaman Crowds,25,« Gatchaman » est le mot désignant les guerriers dotés d'une armure extraterrestre activée par un objet extraterrestre : le Carnet. Cette armure prend la forme de…,https://www.crunchyroll.com/fr/gatchaman-crowds,4.0,60,17,13,7,5,ntv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,GeGeGe no Kitarô,97,"Près de vingt ans après être entré dans le XXIe siècle, les gens ont complètement oublié l'existence des yôkai, ces créatures fantastiques issues du folklore japo…",https://www.crunchyroll.com/fr/gegege-no-kitaro,4.5,26,7,1,2,2,Toei Animation,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
164,gen:LOCK,8,"Dans un futur proche, notre monde est envahi par une force mystérieuse et hostile. Pour riposter, des armes nouvelles basées sur la neuroscience sont expérimentée…",https://www.crunchyroll.com/fr/genlock,4.0,48,23,10,8,8,Rooster Teeth,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
165,GIBIATE,12,"En 2030, au Japon, un virus transforme les humains en monstres dont l'apparence change selon leur âge, leur genre et leurs origines. Cette maladie est appelée “gi…",https://www.crunchyroll.com/fr/gibiate,2.0,8,12,13,21,95,Forecast Communications Inc,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
166,Gifu Dodo !! Kanetsugu et Keiji,25,"Enfouissant au fond de son cœur le secret de l’enfant illégitime de son seigneur tout en risquant sa vie pour le protéger, Kanetsugu Naoe forme une équipe avec un…",https://www.crunchyroll.com/fr/gifu-dodo-kanetsugu-and-keiji,4.0,12,2,2,3,0,TV TOKYO,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Gingitsune,12,"Adaptation d'un manga de Sayori Ochiai, Gingitsune relate le quotidien de Makoto Saeki, quinzième héritière d'une lignée de prêtresses. Conformément à la traditio…",https://www.crunchyroll.com/fr/gingitsune-messenger-fox-of-the-gods,4.5,36,16,2,0,2,TV TOKYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
168,Gintama,103,"Premières saisons disponibles en VOSTA, passez le site en English (US) dans le pied de page. …",https://www.crunchyroll.com/fr/gintama,5.0,10699,513,124,50,135,TV TOKYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
169,Girl Friend Bêta,12,"Girl Friend Bêta (ou Girl Friend Kari en japonais) est adapté d’un jeu pour smartphones, développé en 2012 par CyberAgent, ayant rencontré un énorme succès au Jap…",https://www.crunchyroll.com/fr/girl-friend-beta,3.5,3,5,3,2,0,TV TOKYO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
170,"Girlfriend, Girlfriend",12,"Naoya est en première année de lycée. Amoureux depuis longtemps de Saki, il est sur son petit nuage lorsque la jeune fille accepte de sortir avec lui. Jusqu’au jo…",https://www.crunchyroll.com/fr/girlfriend-girlfriend,4.5,88,11,7,4,14,MBS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,Girly Air Force,12,"De mystérieuses créatures volantes appelées Zai ont subitement apparu, surpassant n'importe quelle force de combat aérienne. Pour affronter ces extraterrestres, l…",https://www.crunchyroll.com/fr/girly-air-force,4.0,21,12,8,4,3,Sotsu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
172,given,12,"La guitare dont il adorait jouer, les matchs de basket qu'il trouvait si amusants, Ritsuka Uenoyama en a perdu le goût. Jusqu'au jour où il rencontre par hasard M…",https://www.crunchyroll.com/fr/given,5.0,409,13,6,2,4,Fuji Creative Corporation,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
173,given (Drama),6,Ritsuka Uenomiya est un guitariste chevronné qui a perdu le sel de son instrument. Mafuyu est un garçon ingénu qui ne sait trop que faire de sa Gibson. Leur renco…,https://www.crunchyroll.com/fr/given-drama,4.5,9,3,1,0,1,Fuji Creative Corporation,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,Gleipnir,52,"Shûichi Kagaya est un jeune garçon qui possède le pénible pouvoir de se transformer en mascotte. Un jour, il fait la rencontre d’une mystérieuse fille, Claire, qu…",https://www.crunchyroll.com/fr/gleipnir,5.0,1,0,0,0,0,Bilibili Inc,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,GLOOMY THE NAUGHTY GRIZZLY,12,"GLOOMY est l'ours de compagnie de Pity. Il mesure un peu plus de 1,80 m et pèse autant que 2000 grenades. Il est dressé pour faire tout un tas de choses, mais il …",https://www.crunchyroll.com/fr/gloomy-the-naughty-grizzly,3.5,4,1,0,0,3,Octas Inc,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Golden Kamui,36,"Surnommé « l’Immortel », Saichi Sugimoto est un ancien soldat ayant survécu à la guerre meurtrière qui s'est déroulée au début du XXe siècle entre le Japon et la …",https://www.crunchyroll.com/fr/golden-kamuy,4.5,122,19,5,0,3,NBC Universal,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
177,Golden Time,24,Banri Tada vient d'être admis dans une université de droit de Tokyo. Il a perdu la mémoire suite à un accident juste après la remise des diplômes du lycée. …,https://www.crunchyroll.com/fr/golden-time,4.5,496,79,26,21,16,King Record Company Limited,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
178,GRANBELM,13,"Autrefois, le monde était régi par la magie, mais elle a aujourd'hui disparu. Mangetsu Kohinata est une lycéenne ordinaire qui rencontre, un soir de pleine lune, …",https://www.crunchyroll.com/fr/granbelm,4.0,17,10,3,2,4,DMM Corporation,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
179,Grand Blues!,12,"Dans l'immence ciel bleu qui les entoure, l'équipage de Gran apparaît sous un nouveau jour. Prenez votre envol vers ce monde haut en couleur ! …",https://www.crunchyroll.com/fr/grand-blues,3.0,2,3,1,1,3,Cygames,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Gundam Build Divers,52,Gunpla Battle Nexus Online (GBN) est un nouveau jeu en ligne qui permet à ses joueurs de profiter d'une multitude de missions utilisant une maquette Gunpla dans u…,https://www.crunchyroll.com/fr/gundam-build-divers,4.0,11,4,5,2,2,Sunrise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
181,Gundam Build Fighters,50,"Nous sommes dans un futur proche. Le temps a passé depuis les années 1980 et la création des Gunpla, ces fameuses maquettes plastiques de Gundam, basées sur la cé…",https://www.crunchyroll.com/fr/gundam-build-fighters,5.0,13,1,0,0,0,Sunrise,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
182,Hagane Orchestra,12,"Dans un monde inhospitalier, un groupe de jeunes assez déjantés tente de promouvoir la sortie de Hagane Orchestra, un jeu sur smartphone. Leurs méthodes seront qu…",https://www.crunchyroll.com/fr/hagane-orchestra,4.5,2,3,0,0,0,Hanbit,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Hakata Mentai! Pirikarako-chan,12,"Dans un quartier commerçant qui ressemble beaucoup au centre historique Hakata à Fukuoka, Pirikarako-chan est une fée aussi mignonne qu'adorable qui tente chaque …",https://www.crunchyroll.com/fr/hakata-mentai-pirikarako-chan,4.5,2,1,0,0,0,G-Angle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
184,Hakata Tonkotsu Ramens,12,"En apparence, Fukuoka semble être une ville paisible, mais elle est rongée par le crime. Elle est devenue le champ d’action des tueurs à gages, mais une rumeur la…",https://www.crunchyroll.com/fr/hakata-tonkotsu-ramens,4.5,62,16,3,0,1,Warner Japan,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185,Hakubo,1,"Dans la préfecture de Fukushima, Sachi Koyama est une lycéenne plutôt réservée qui prépare activement l'audition de son club de musique en tant que violoniste. Yu…",https://www.crunchyroll.com/fr/hakubo,4.5,10,5,3,0,0,Tsukasaseika,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
186,Hakuoki ~Demon of the Fleeting Blossom~,3,Chizuru en apprend plus sur le Shinsengumi alors qu'elle les aide avec leurs tâches quotidiennes. Le groupe se prépare à escorter le Shogun lors de sa visite à la…,https://www.crunchyroll.com/fr/hakuoki-demon-of-the-fleeting-blossom,4.0,0,1,0,0,0,NBC Universal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
187,Hakuoki ~Demon of the Fleeting Blossom~ (Drama),9,"Chizuru est une jeune femme maniant le sabre à la recherche de Kôdô, son père, disparu lors d'un voyage. Elle est sauvée puis capturée par le Shinsengumi, un grou…",https://www.crunchyroll.com/fr/hakuoki-demon-of-the-fleeting-blossom-drama,0.0,0,0,0,0,0,WOWOW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
188,HAKYÛ HÔSHIN ENGI,25,"Un royaume était jadis prospère, mais il est maintenant dirigé par une divinité maléfique, Daji. Avec l’aide de ses sbires, ce dernier oppresse le peuple, plonge…",https://www.crunchyroll.com/fr/hakyu-hoshin-engi,3.0,10,3,2,6,10,NBC Universal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
189,Hamatora,24,Hamatora est une agence de détectives privés dont les membres sont ce qu'on appelle des détenteurs : ils possèdent des pouvoirs surnaturels qualifiés de « minimum…,https://www.crunchyroll.com/fr/hamatora,4.0,53,20,15,8,2,TV TOKYO,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
190,HaNaYaMaTa,12,Naru Sekiya est une collégienne banale qui rêve de mener la vie des héroïnes des contes de fées dans lesquels elle se plonge à longueur de journée. Sa rencontre a…,https://www.crunchyroll.com/fr/hanayamata,4.5,42,11,4,1,1,TV TOKYO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
191,Hand Shakers,12,"Osaka, AD20XX. Dans la dimension ziggourat, les Hand Shakers sont des êtres détenant un pouvoir psychique qu’ils activent en joignant leurs mains, mais ils ne peu…",https://www.crunchyroll.com/fr/hand-shakers,3.0,28,16,10,13,37,Kadokawa Pictures Inc.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,HANEBADO!,13,"Entraîneur du club de badminton du lycée de Kitakomachi, Kentarô Tachibana est inquiet : son équipe compte si peu de membres qu'elle ne peut même pas participer à…",https://www.crunchyroll.com/fr/hanebado,4.0,28,18,9,9,3,Toho,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
193,Heaven's Design Team,13,"Dieu a créé la lumière, l'eau et la terre, mais à présent, il a un sacré mal de tête ! Il décide donc de sous-traiter la suite de son travail en confiant la créat…",https://www.crunchyroll.com/fr/heavens-design-team,4.5,30,4,2,3,1,Avex,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Higehiro,13,"Yoshida, 26 ans et salarié dans une grande entreprise, a passé sa soirée à noyer son chagrin après une rupture sentimentale tout particulièrement difficile. En re…",https://www.crunchyroll.com/fr/higehiro-after-being-rejected-i-shaved-and-took-in-a-high-school-runaway,4.5,110,11,5,2,2,Showgate,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,High Guardian Spice,12,"Quatre jeunes filles sont déterminées à intégrer l'école des Gardiens, le seul endroit qui leur permettra de sauter dans l'âge adulte en devenant l'un des héros q…",https://www.crunchyroll.com/fr/high-guardian-spice,2.5,185,24,12,21,402,Crunchyroll Studios,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,High School Prodigies Have It Easy Even In Another World,24,"Après un crash aérien, sept lycéens se retrouvent dans un monde parallèle où la magie existe. Pas vraiment pris au dépourvu par cette étrange situation, ils accom…",https://www.crunchyroll.com/fr/high-school-prodigies-have-it-easy-even-in-another-world,3.0,82,38,32,23,67,"Happinet Co., Ltd.",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Himegoto,13,"Les parents de Hime Arikawa aiment voyager. Voyager… et s’endetter. Le problème ? Ils le font au nom de leur fils, qui est menacé par des créanciers pas très nets…",https://www.crunchyroll.com/fr/himegoto,3.5,34,16,13,4,12,Asahi Production,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
198,HIMOTE HOUSE: A share house of super psychic girls,12,"Les trois sœurs Himote, Tokiyo, Kinami et Kokoro, vivent à Nakano, dans Tokyo, dans ce qu'elles ont surnommé la « Maison Himote ». Elles partagent le lieu avec de…",https://www.crunchyroll.com/fr/himote-house-a-share-house-of-super-psychic-girls,2.5,2,6,2,0,8,My Theater DD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Himouto! Umaru-chan,12,"Umaru Doma, 16 ans, est une jeune fille qui excelle sur tous les plans : douée en cours, en sport et plutôt jolie, elle est la coqueluche du lycée. Mais une fois …",https://www.crunchyroll.com/fr/himouto-umaru-chan,4.5,173,35,14,7,9,Toho,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
200,Hinako Note,12,"Hinako a du mal à communiquer avec les autres car elle a grandi dans un milieu rural où elle ne voyait pas grand monde. Pour vaincre la timidité qui la paralyse, …",https://www.crunchyroll.com/fr/hinako-note,4.0,11,11,5,3,0,Kadokawa Pictures Inc.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201,HINAMATSURI,12,"Nitta Yoshifumi est un jeune yakuza qui gère ses affaires avec rigueur dans le secteur qu'il occupe. Mais un jour débarque Hina, une jeune fille dotée de pouvoirs…",https://www.crunchyroll.com/fr/hinamatsuri,5.0,154,15,2,3,1,Kadokawa Pictures Inc.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
202,Hinomaru Sumo,24,"Malgré son petit gabarit, Hinomaru Ushio est venu frapper à la porte du club de sumo du lycée Ôdachi. Dans ce sport où les qualificatifs sont plutôt « gros » et «…",https://www.crunchyroll.com/fr/hinomaru-sumo,5.0,68,4,1,3,1,PONY CANYON INC.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
203,Hitori no Shita – The Outcast,37,"Soran Cho se promenait tranquillement dans le cimetière d’un petit village lorsqu’il a été attaqué par des zombies. Il pensait alors son heure arrivée, mais il a …",https://www.crunchyroll.com/fr/hitori-no-shita-the-outcast,4.0,60,22,19,9,17,EMON,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
204,Hitoribocchi no Marumaruseikatsu,12,"Lorsqu'elle était à l'école primaire, Chisaki Morishita était surnommée Bocchi, la Solitaire ! Asociale et très timide, elle a pourtant promis à sa seule camarade…",https://www.crunchyroll.com/fr/hitoribocchi-no-marumaruseikatsu,5.0,66,7,3,0,0,Kadokawa Pictures Inc.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
205,Hitsugi no Chaika,22,"Tôru Acura est un soldat âgé de 20 ans. La guerre étant terminée, il n'a désormais plus aucun but dans sa vie. Il rencontre un jour Chaika Trabant, une jeune sorc…",https://www.crunchyroll.com/fr/chaika-the-coffin-princess-,4.5,54,32,14,4,1,Kadokawa Pictures Inc.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,Holmes of Kyoto,12,"À Kyoto, dans une boutique d'antiquités du quartier commerçant de Teramachi Sanjô, la jeune Aoi Mashiro rencontre Kiyotaka Yagashira, fils du propriétaire du maga…",https://www.crunchyroll.com/fr/holmes-of-kyoto,4.0,26,14,5,5,1,Hakuhodo,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
207,Horimiya,13,"Hori Kyôko est la coqueluche de sa classe, une lycéenne jolie et populaire aux excellents résultats. Mais le soir venu, elle doit tenir la maison à la place de se…",https://www.crunchyroll.com/fr/horimiya,4.5,8,1,0,1,0,Aniplex of America,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
208,Hortensia SAGA,24,Le royaume d'Hortensia sur la péninsule de Iepetus est fier de son histoire vieille de 700 ans. Les terres fertiles de ce royaume ont toujours été convoitées par …,https://www.crunchyroll.com/fr/hortensia-saga,0.0,0,0,0,0,0,Aniplex of America,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
209,"How clumsy you are, Miss Ueno.",12,"Ueno est non seulement la présidente du club de science de son collège, mais elle est également une inventeuse de génie ! Cependant, malgré toute l'étendue de ses…",https://www.crunchyroll.com/fr/how-clumsy-you-are-miss-ueno,4.0,23,16,5,3,2,asmikace,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,How to Keep a Mummy,12,"Sora Kashiwagi a reçu un énorme colis envoyé par son père, un aventurier autoproclamé qui voyage à travers le monde. Il s’agit d’un sarcophage duquel émerge une t…",https://www.crunchyroll.com/fr/how-to-keep-a-mummy,5.0,115,14,4,3,0,TBS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
211,Hundred,12,"Un Hundred est la seule arme permettant de combattre les Savages, une mystérieuse forme de vie qui attaque la Terre. Possédant cette arme, Hayato intègre l’univer…",https://www.crunchyroll.com/fr/hundred,3.0,68,27,28,30,49,TV TOKYO,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
212,Hôkago no Pleiades,12,Subaru est une jeune fille qui fait partie d’un petit groupe de magiciennes chargées de retrouver divers fragments d’une machine extraterrestre pour que son pilot…,https://www.crunchyroll.com/fr/wish-upon-the-pleiades,3.5,9,12,4,3,3,Showgate,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
213,I'M KODAMA KAWASHIRI,8,"Kodama n'est pas la femme la plus active au monde. Elle ne s'intéresse qu'à la bière et à manger. Plus c'est gras ou sucré, mieux c'est ! …",https://www.crunchyroll.com/fr/im-kodama-kawashiri,4.5,3,0,0,1,0,Fuji Creative Corporation,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
214,I'm Standing on a Million Lives,49,"Yûsuke Yotsuya, collégien distant, mais doté d'un grand sens de la logique, est transporté dans un monde alternatif qui ressemble à un jeu. Avec ses camarades de …",https://www.crunchyroll.com/fr/im-standing-on-a-million-lives,3.5,55,17,29,25,14,Warner Japan,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Idol Incidents,12,"Au Japon, les politiciens traditionnels n’ont jamais réussi à régler les problèmes du pays. Voilà pourquoi ils ont fini par céder leur place à des idoles qui, à t…",https://www.crunchyroll.com/fr/idol-incidents,3.5,1,3,1,2,0,Mages Inc,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,Idol Time Pripara,51,"Yui entre en sixième à Paparajuku et nourrit le grand espoir de devenir une chanteuse idole. Son vœu est en partie exaucé quand elle reçoit PriTicket, mais sa vil…",https://www.crunchyroll.com/fr/idol-time-pripara,5.0,6,0,0,0,0,ADK,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
