,title,nb_videos,short_desc,url,mean_stars,five_stars,four_stars,three_stars,two_stars,one_star,editor,action,adventure,comedy,drama,fantasy,harem,historical,idols,isekai,magical_girls,mecha,music,mystery,post_apocalyptic,romance,sci_fi,seinen,shojo,shonen,slice_of_life,sports,supernatural,thriller
16,Ai-Mai-Mi Surgical Friends,12,"Les filles du club de mangas ont une imagination débordante pour écrire des histoires, mais n’ont pas intégré les valeurs de ce qu’est un travail. …",https://www.crunchyroll.com/fr/ai-mai-mi-surgical-friends,4.0,4,0,2,0,1,Seven,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,Air Master,27,"Ancienne gymnaste, Maki Aikawa s'est tournée vers une autre discipline : le combat de rue. La seule chose qui lui donne vraiment envie de vivre, c'est d'affronter…",https://www.crunchyroll.com/fr/air-master,4.5,705,148,70,11,43,Toei Animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Akashic Records of Bastard Magic Instructor,36,Sistine fréquente une école de magie pour améliorer ses performances dans l’espoir de résoudre la fameuse énigme du Château céleste de Mergalius. Mais son profess…,https://www.crunchyroll.com/fr/akashic-records-of-bastard-magic-instructor,4.0,168,73,47,14,13,Kadokawa Pictures Inc.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Akebi's Sailor Uniform,9,Akebi Komichi a été admise dans un prestigieux collège pour filles. Elle a deux souhaits pour l'année scolaire : porter l'uniforme de marin de l'école et se lier …,https://www.crunchyroll.com/fr/akebis-sailor-uniform,5.0,6,0,0,0,0,Aniplex of America,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Akudama Drive,36,…,https://www.crunchyroll.com/fr/akudama-drive,5.0,1,0,0,0,0,"Pierrot Co., Ltd.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Alderamin on the Sky,13,"L’empire de Katjvarna est en guerre contre un pays voisin, la république de Kioka. Ikta Solork déteste la guerre, mais il passe un examen pour devenir officier af…",https://www.crunchyroll.com/fr/alderamin-on-the-sky,4.5,131,38,12,4,3,Warner Japan,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,ALDNOAH.ZERO,25,"L'histoire nous entraîne au milieu une guerre ayant lieu en plein Système solaire. Tout commence lorsqu'en 1972, les membres d'Apollo 17, la dernière mission envo…",https://www.crunchyroll.com/fr/aldnoahzero,4.0,202,91,65,33,22,Aniplex of America,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
23,Alice & Zôroku,13,"Des enfants, les « Rêves d'Alice », possèdent un mystérieux pouvoir qui leur permet de défier les lois de la physique. Cependant, ils vivent confinés dans un labo…",https://www.crunchyroll.com/fr/alice-zoroku,4.5,35,11,3,3,1,Bandai Visual,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
24,Amaama to Inazuma,12,"Depuis la mort de sa femme, un jeune enseignant s’occupe seul de sa petite fille, Tsumugi. N’étant pas un adepte de la cuisine, il se contente bien souvent d’ache…",https://www.crunchyroll.com/fr/sweetness-lightning,4.5,108,22,3,2,2,Sumitomo Corporation,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25,AMAZING STRANGER,12,"Haruto est un otaku qui ne s'intéresse pas aux (vraies) filles en 3D ! Un jour, sa dernière acquisition, une figurine de son héroïne préférée Nona, se met à bouge…",https://www.crunchyroll.com/fr/amazing-stranger,4.0,6,6,1,0,3,Seven,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Ange Vierge,12,"Un jour, cinq mondes devinrent liés : le monde bleu (le nôtre, la Terre), le monde noir (régi par la nuit et la magie), le monde rouge (protégé par les prières et…",https://www.crunchyroll.com/fr/ange-vierge,2.5,12,3,6,6,17,Kadokawa Pictures Inc.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Angels of Death,16,"Lorsque Rachel se réveille dans le sous-sol d'un immeuble abandonné, elle ne comprend pas comment elle est arrivée là. Tandis qu'elle cherche une sortie, elle tom…",https://www.crunchyroll.com/fr/angels-of-death,4.0,105,36,30,24,22,Kadokawa Pictures Inc.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,Angolmois: Record of Mongol Invasion,12,"En l'an 1274, les Mongols ont des vues sur le Japon qu'ils s'apprêtent à envahir. Jinzaburô Kuchii est un samouraï exilé sur l'île de Tsushima. Il se retrouve seu…",https://www.crunchyroll.com/fr/angolmois-record-of-mongol-invasion,4.5,34,12,2,1,0,Kadokawa Pictures Inc.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Anima Yell!,12,"Depuis qu'elle est au collège, Kohane Hatogaya se passionne pour les cheerleaders. Lorsqu'elle entre au lycée, elle monte un club de pom-pom girls aux côtés de se…",https://www.crunchyroll.com/fr/anima-yell,4.5,10,7,0,1,0,Toho,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
30,Anime Awards 2021 par Crunchyroll,1,"Bienvenue au Anime Awards 2021 par Crunchyroll ! Chaque année, nous récompensons les meilleurs des anime avec des millions de fans du monde entier. À partir du vo…",https://www.crunchyroll.com/fr/the-crunchyroll-anime-awards,3.0,1,0,0,0,1,crunchyroll,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31,Anime AzurLane: Slow Ahead!,12,"Pour protéger le monde des attaques de créatures marines surnaturelles, un escadron de jeunes filles est déployé sous la forme de navires de guerre de l'histoire …",https://www.crunchyroll.com/fr/anime-azurlane-slow-ahead,4.5,14,1,1,1,0,Yostar Inc.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Anime Crimes Division,6,"Dans la ville de Néo Otaku, il y a deux sortes de personnes : celles qui sont capables de réciter par cœur les paroles du générique de Sailor Moon en japonais et …",https://www.crunchyroll.com/fr/anime-crimes-division,4.5,36,3,0,0,7,crunchyroll,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,Anime de Training! EX,24,"Six jeunes filles qui veulent devenir des idoles s’entraînent à travers des exercices que vous pouvez suivre et réaliser avec elles ! Étirements, danse, yoga, str…",https://www.crunchyroll.com/fr/anime-de-training-ex,4.0,13,1,8,1,3,Earth Star Entertainment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,Anime de Wakaru Shinryônaika,20,"Nous suivons la vie quotidienne du cabinet d’un psychiatre, le docteur Ryô Shinnai, assisté de sa charmante infirmière, Asuna Kangoshi. Chaque épisode repose sur …",https://www.crunchyroll.com/fr/comical-psychosomatic-medicine,4.0,13,12,5,1,1,PONY CANYON INC.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,Anime KAPIBARASAN,24,"Kapibara vit avec ses copains dans la prairie de Midorino. Il adore s'asseoir dans les sources chaudes et manger de l'herbe. Pour le reste, il passe la plupart de…",https://www.crunchyroll.com/fr/anime-kapibarasan,5.0,20,0,0,0,0,Shin-Ei Doga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,Anne-Happy,12,"Toutes les élèves de la 1re 7 de l’école Tennogofune semblent avoir la poisse ou un mauvais karma ! Retrouvez An Hanakoizumi, la malchanceuse, Ruri Hibarigaoka et…",https://www.crunchyroll.com/fr/anne-happy,4.0,19,12,3,4,1,Furyu,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,Ao Oni – The Animation,14,"Aux abords de la ville se dresse un manoir que l’on dit hanté par un mystérieux monstre bleu (Aooni, en japonais). Hiroshi et ses camarades Takuro, Takeshi et Mik…",https://www.crunchyroll.com/fr/aooni-the-blue-monster,3.5,6,5,6,4,3,TV TOKYO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
38,Are You Lost?,12,"À la suite d'un accident d'avion, un groupe de lycéennes échoue sur une île déserte. Sur place, il n'y a rien à faire, rien à manger, elles doivent se débrouiller…",https://www.crunchyroll.com/fr/are-you-lost,4.0,23,21,14,5,3,Kodansha Ltd.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Arifureta: From Commonplace to World's Strongest,13,"Hajime Nagumo, véritable souffre-douleur, se retrouve transporté avec toute sa classe dans un autre monde. Alors que ses camarades acquièrent des techniques de co…",https://www.crunchyroll.com/fr/arifureta-from-commonplace-to-worlds-strongest,4.5,2,2,0,0,0,Showgate,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Armor Shop for Ladies & Gentlemen,27,L'histoire tourne autour d'un magasin d'armures unique en son genre ne fournit qu'un certain type d'équipement destiné aux jeunes et belles aventurières ! …,https://www.crunchyroll.com/fr/armor-shop-for-ladies-gentlemen,2.5,7,7,4,3,20,DOCOMO ANIME STORE inc,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,ARP Backstage Pass,12,"ARP est le nom d'un groupe de quatre danseurs et chanteurs créé grâce aux dernières technologies de réalité augmentée (AR). Lancé par la maison de disques Avex, i…",https://www.crunchyroll.com/fr/arp-backstage-pass,3.5,2,0,1,0,1,asmikace,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,"Arrête de me chauffer, Nagatoro",25,"Alors qu’il se rend à la bibliothèque, Naoto devient un jour la cible d’une fille plus jeune que lui. Cette élève qui le taquine, l’aguiche et le tourmente s’appe…",https://www.crunchyroll.com/fr/dont-toy-with-me-miss-nagatoro,5.0,282,17,2,3,10,King Record Company Limited,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
43,As Miss Beelzebub Likes it.,12,"Mullin décroche le job de ses rêves en devenant l'assistant du seigneur démon qu'il admire depuis toujours. Mais lorsque son travail commence, c'est la désillusio…",https://www.crunchyroll.com/fr/as-miss-beelzebub-likes-it,4.0,29,6,12,3,4,ABC Asahi,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,Ascendance of a Bookworm,28,"Étudiante et passionnée par les livres, Motosu Urano venait d'apprendre qu'elle allait enfin travailler comme bibliothécaire, ce dont elle avait toujours rêvé. Ma…",https://www.crunchyroll.com/fr/ascendance-of-a-bookworm,5.0,271,27,12,5,3,"Happinet Co., Ltd.",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Asobi Asobase - workshop of fun -,12,"Trois camarades de classe aiment se lancer des défis à travers des jeux simples. La première est très douée, mais elle déteste ce genre de jeu à force de perdre c…",https://www.crunchyroll.com/fr/asobi-asobase-workshop-of-fun-,5.0,135,10,3,1,2,Kadokawa Pictures Inc.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,ASSASSINS PRIDE,12,Seuls ceux appartenant à une famille noble peuvent utiliser le mana permettant de se battre contre des monstres qui terrorisent villes et campagnes. Né dans la fa…,https://www.crunchyroll.com/fr/assassins-pride,3.5,90,45,40,35,57,Avex,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Asteroid in Love,13,Mira a toujours rêvé de faire partie d'un club d'astronomie une fois au lycée. Cette passion pour les astres date du jour où quelqu'un lui avait promis de découvr…,https://www.crunchyroll.com/fr/asteroid-in-love,4.5,19,8,4,0,1,Kadokawa Pictures Inc.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
48,Attack on Titan (Dubs),58,"Known in Japan as Shingeki no Kyojin, many years ago, the last remnants of humanity were forced to retreat behind the towering walls of a fortified city to escape…",https://www.crunchyroll.com/fr/attack-on-titan-dubs,4.0,7,0,0,0,3,Kodansha Ltd.,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
49,Aware! Meisaku-kun,37,"Suivez les aventures de Meisaku et ses amis Bolt, Musubi, Nocchio et Sweets. …",https://www.crunchyroll.com/fr/aware-meisaku-kun,5.0,1,0,0,0,0,DMM Corporation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,AZUR LANE,48,"Des ennemis puissants et monstrueux appelés Siren surgissent soudain de la mer. Afin d’en venir à bout, une division de l’armée constituée de jeunes femmes est cr…",https://www.crunchyroll.com/fr/azur-lane,4.0,1,0,1,0,0,Toho,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,BACK ARROW,24,"Ringerind est une terre entourée d'un gigantesque mur. Ce dernier l'enveloppe, la protège et contribue à son développement, au point d’en être déifié ; c’est l'es…",https://www.crunchyroll.com/fr/back-arrow,4.0,0,1,0,0,0,Aniplex of America,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Backflip!!,12,"Lorsqu’il a découvert la gymnastique rythmique à la fin de ses années collège, Shôtarô est tombé amoureux de cette discipline. Voilà pourquoi il a rejoint le lycé…",https://www.crunchyroll.com/fr/backflip,5.0,21,2,1,0,0,Fuji Creative Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,Bananya,26,"Il existe tellement de créatures dans notre univers que nous ne connaissons pas ! Sur une lointaine planète lointaine, une mystérieuse espèce est née : les Banany…",https://www.crunchyroll.com/fr/bananya,4.5,62,7,2,3,2,"TMS Entertainment Co., Ltd.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,Basilisk – The Ôka Ninja Scrolls,24,La bataille pour la succession qui s’est déroulée sur trois générations de shogun pendant l’ère Keichô a atteint son apogée lorsque de sanglants affrontements ont…,https://www.crunchyroll.com/fr/basilisk-the-ouka-ninja-scrolls,2.0,6,5,5,7,26,Kodansha Ltd.,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,Battle Game in 5 Seconds,27,Akira est un lycéen passionné de jeux vidéo tombé dans les griffes d'une mystérieuse organisation. Ses compagnons d'infortune et lui sont désormais les participan…,https://www.crunchyroll.com/fr/battle-game-in-5-seconds,4.0,32,7,4,3,4,ShoPro,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
